DataMessageGUID,SensorID,Sensor Name,Date,Time,Value,FormattedValue,Battery,Raw Data,Sensor State,GatewayID,Alert Sent,Signal Strength,Voltage
d5900b7b-8452-4fa5-a918-afade5118416,633384,Temp/ Humidity 1,11/17/2022,17,44,44.32% @ 22.3� C,100,"44.32,22.34,9.6,52.9,21.8,14.9",0,964010,FALSE,100,2.74
f8a627b8-3edc-4b31-a495-883d3585462b,633384,Temp/ Humidity 1,11/17/2022,17,45,45.02% @ 22.3� C,100,"45.02,22.31,9.8,53.6,21.8,15",0,964010,FALSE,100,2.74
1c4094af-bab9-41c3-9122-d69806755c5f,633384,Temp/ Humidity 1,11/17/2022,17,46,46.32% @ 22.6� C,100,"46.32,22.56,10.5,56,22.1,15.4",0,964010,FALSE,100,2.74
55bbf006-7aeb-4a72-adc4-4b4422d02732,633384,Temp/ Humidity 1,11/17/2022,16,48,47.89% @ 22.7� C,100,"47.89,22.69,11.1,58.4,22.3,15.7",0,964010,FALSE,100,2.74
e59d4073-d4fb-4105-b73f-97d2ef4cd06f,633384,Temp/ Humidity 1,11/17/2022,16,48,47.7% @ 22.7� C,100,"47.7,22.65,11,58,22.2,15.6",0,964010,FALSE,100,2.74
46d6c07a-8900-4983-9924-62ad7b1c21bb,633384,Temp/ Humidity 1,11/17/2022,16,47,46.75% @ 22.7� C,100,"46.75,22.74,10.8,57.2,22.3,15.6",0,964010,FALSE,100,2.74
eafea3a4-4da6-4763-80ef-58b75f7e98b2,633384,Temp/ Humidity 1,11/17/2022,15,47,47.01% @ 22.9� C,100,"47.01,22.9,11,58.1,22.5,15.8",0,964010,FALSE,100,2.74
57af08c8-ba45-4b40-b23f-0e7f70b0c348,633384,Temp/ Humidity 1,11/17/2022,15,48,47.75% @ 22.9� C,100,"47.75,22.87,11.2,58.9,22.5,15.8",0,964010,FALSE,100,2.74
c32d2dd2-dee9-4434-88df-88d80670c864,633384,Temp/ Humidity 1,11/17/2022,15,48,47.61% @ 22.6� C,100,"47.61,22.6,10.9,57.7,22.2,15.6",0,964010,FALSE,100,2.74
f2487730-2337-4307-b9b9-fa5f2d3033da,633384,Temp/ Humidity 1,11/17/2022,14,47,47.11% @ 22.6� C,100,"47.11,22.59,10.7,57.1,22.1,15.5",0,964010,FALSE,100,2.74
a8ae180e-2f71-4fc5-a7dd-411916e73520,633384,Temp/ Humidity 1,11/17/2022,14,48,47.67% @ 22.5� C,100,"47.67,22.53,10.9,57.5,22.1,15.5",0,964010,FALSE,100,2.74
0c9e0447-842a-4968-95d6-03d9f4ee7e9c,633384,Temp/ Humidity 1,11/17/2022,14,48,47.77% @ 22.6� C,100,"47.77,22.58,10.9,57.8,22.1,15.6",0,964010,FALSE,100,2.74
3f67ed07-d8b3-41f8-9b18-9075a592c630,633384,Temp/ Humidity 1,11/17/2022,13,47,46.7% @ 22.5� C,100,"46.7,22.52,10.6,56.3,22,15.4",0,964010,FALSE,100,2.74
4c4eaea8-289c-4916-8945-518ef97842e5,633384,Temp/ Humidity 1,11/17/2022,13,47,47.43% @ 22.5� C,100,"47.43,22.5,10.8,57.1,22,15.5",0,964010,FALSE,100,2.74
04146a37-2d12-4695-b49f-cd926cb0e122,633384,Temp/ Humidity 1,11/17/2022,13,49,49.18% @ 22.5� C,100,"49.18,22.53,11.3,59.4,22.1,15.8",0,964010,FALSE,100,2.74
dd92ffbf-524c-4c6d-8c5a-5e5dbb34e078,633384,Temp/ Humidity 1,11/17/2022,14,50,49.99% @ 22.6� C,100,"49.99,22.58,11.6,60.5,22.2,15.9",0,964010,FALSE,100,2.74
a50598fc-0b8c-4d6d-b0ac-30356bbd0656,633384,Temp/ Humidity 1,11/17/2022,14,51,50.93% @ 22.5� C,100,"50.93,22.45,11.8,61.2,22.1,15.9",0,964010,FALSE,100,2.74
3cf39e83-642c-4c5b-bbcc-846d11614197,633384,Temp/ Humidity 1,11/17/2022,14,51,51.09% @ 22.2� C,100,"51.09,22.19,11.6,60.4,21.8,15.7",0,964010,FALSE,100,2.74
ca53e42b-17f9-45a2-b185-324c5e742d6e,633384,Temp/ Humidity 1,11/17/2022,1,50,50.49% @ 22.2� C,100,"50.49,22.16,11.4,59.5,21.7,15.6",0,964010,FALSE,100,2.74
faa995ef-931b-4a59-88d5-2869aa77fb92,633384,Temp/ Humidity 1,11/17/2022,1,51,51.45% @ 22.2� C,100,"51.45,22.15,11.7,60.6,21.8,15.8",0,964010,FALSE,100,2.74
9fe4ee7a-4818-4a78-9fa2-4739a9e6c098,633384,Temp/ Humidity 1,11/17/2022,1,52,51.6% @ 22� C,100,"51.6,22,11.6,60.2,21.6,15.6",0,964010,FALSE,100,2.74
aa8bf24c-7944-4178-97d0-12f11c043700,633384,Temp/ Humidity 1,11/17/2022,0,52,51.73% @ 22� C,100,"51.73,21.98,11.6,60.3,21.6,15.6",0,964010,FALSE,100,2.73
a49edf3e-2d11-43c7-8c56-bf4727ce3da6,633384,Temp/ Humidity 1,11/17/2022,0,51,51.17% @ 21.8� C,100,"51.17,21.81,11.3,59,21.4,15.4",0,964010,FALSE,100,2.73
